"unidade";"ti_id";"tabela_convenio";"codigo_procedimento";"preco_tabela";"descricao";"procedimento_generico";"especialidade"
olinda;589477;TABELA HAPVIDA;"82001294";90.0000;Exodontia Dente Semi-Incluso;EXODONTIA DE SEMI-INCLUSOS / IMPACTADOS / SUPRANUMERARIO;Cirurgia e Traumatologia Buco
olinda;589478;TABELA HAPVIDA;"82001286";120.0000;Exodontia Dente incluso/retido/impactado;EXODONTIA DE INCLUSOS / IMPACTADOS;Cirurgia e Traumatologia Buco
olinda;589479;TABELA HAPVIDA;"82000190";43.1300;APROFUNDAMENTO/AUMENTO DE VESTÍBULO;AUMENTO DE COROA CLINICA;Periodontia
olinda;589480;TABELA HAPVIDA;"82001707";34.5000;Ulectomia  ;ULECTOMIA;Odontopediatria
olinda;589481;TABELA HAPVIDA;"82000034";43.1300;Alveoloplastia ;ALVEOLOPLASTIA;Periodontia
olinda;589482;TABELA HAPVIDA;"82000182";69.0000;Apicectomia Unirradicular;APICETOMIA UNIRRADICULARES SEM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589483;TABELA HAPVIDA;"82000085";86.2500;Apicectomia Birradicular;APICETOMIA BIRRADICULARES SEM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589484;TABELA HAPVIDA;"82000166";94.8800;Apicectomia Trirradicular;APICETOMIA MULTIRRADICULARES SEM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589485;TABELA HAPVIDA;"82000174";77.6300;Apicectomia Unirradicular c/ Obturação Retrograda;APICETOMIA UNIRRADICULARES COM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589486;TABELA HAPVIDA;"82000077";94.8800;Apicectomia Birradicular c/ Obturação Retrograda ;APICETOMIA BIRRADICULARES COM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589487;TABELA HAPVIDA;"82000158";103.5000;Apicectomia Trirradicular c/ Obturação Retrógrada;APICETOMIA MULTIRRADICULARES COM OBTURACAO RETROGRADA;Cirurgia e Traumatologia Buco
olinda;589488;TABELA HAPVIDA;"82000239";43.1300;Biópsia de Boca;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589489;TABELA HAPVIDA;"82000247";43.1300;Biópsia de Glândula Salivar;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589490;TABELA HAPVIDA;"82000255";43.1300;Biópsia de Lábio;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589491;TABELA HAPVIDA;"82000263";43.1300;Biópsia de Lingua;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589492;TABELA HAPVIDA;"82000271";43.1300;Biópsia de Mandibula;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589493;TABELA HAPVIDA;"82000280";43.1300;Biópsia de Maxila;BIOPSIA;Cirurgia e Traumatologia Buco
olinda;589494;TABELA HAPVIDA;"85100099";10.3500;Restauração de amálgama de 01 face;RESTAURACAO DE AMALGAMA - 1 FACE;Dentistica
olinda;589495;TABELA HAPVIDA;"85100102";13.8000;Restauração de amálgama de 02 faces;RESTAURACAO DE AMALGAMA - 2 FACES;Dentistica
olinda;589496;TABELA HAPVIDA;"85100110";17.2500;Restauração de amálgama de 03 face;RESTAURACAO DE AMALGAMA - 3 FACES;Dentistica
olinda;589497;TABELA HAPVIDA;"85100129";20.7000;Restauração de Amálgama de 04 faces;RESTAURACAO DE AMALGAMA - 4 FACES;Dentistica
olinda;589498;TABELA HAPVIDA;"85100196";22.0000;RESTAURACAO EM RESINA FOTOPOLIMERIZAVEL 1 FAC;RESTAURACAO EM RESINA 1 FACE;Dentistica
olinda;589499;TABELA HAPVIDA;"85100200";24.1500;RESTAURACAO EM RESINA FOTOPOLIMERIZAVEL 2 FAC;RESTAURACAO EM RESINA 2 FACES;Dentistica
olinda;589500;TABELA HAPVIDA;"85100218";31.0500;RESTAURACAO EM RESINA FOTOPOLIMERIZAVEL 3 FAC;RESTAURACAO EM RESINA 3 FACES;Dentistica
olinda;589501;TABELA HAPVIDA;"85100226";34.5000;RESTAURACAO EM RESINA FOTOPOLIMERIZAVEL 4 FAC;RESTAURACAO EM RESINA 4 FACES;Dentistica
olinda;589502;TABELA HAPVIDA;"85100137";17.2500;Restauração em ionômero de vidro 1 face;RESTAURACAO EM IONOMERO DE VIDRO - 1 FACE;Dentistica
olinda;589503;TABELA HAPVIDA;"85100145";17.2500;Restauração em ionômero de vidro 2 faces;RESTAURACAO EM IONOMERO DE VIDRO - 2 FACES;Dentistica
olinda;589504;TABELA HAPVIDA;"85100153";17.2500;Restauração em ionômero de vidro 3 faces;RESTAURACAO EM IONOMERO DE VIDRO - 3 FACES;Dentistica
olinda;589505;TABELA HAPVIDA;"82000387";48.3000;Cirurgia Torus Mandibular Unilateral;CIRURGIA PARA TORUS MANDIBULAR – UNILATERAL;Cirurgia e Traumatologia Buco
olinda;589506;TABELA HAPVIDA;"82000360";69.0000;Cirurgia Torus Mandibular Bilateral;CIRURGIA PARA TORUS MANDIBULAR – BILATERAL;Cirurgia e Traumatologia Buco
olinda;589507;TABELA HAPVIDA;"82000395";60.3800;Cirurgia Torus Palatino;CIRURGIA PARA TORUS PALATINO;Cirurgia e Traumatologia Buco
olinda;589508;TABELA HAPVIDA;"82000298";51.7500;Correção Bridas Musculares;BRIDECTOMIA;Cirurgia e Traumatologia Buco
olinda;589509;TABELA HAPVIDA;"82000794";43.1300;Excisão de Mucocele ;EXERESE OU EXCISAO DE MUCOCELE;outros
olinda;589510;TABELA HAPVIDA;"82000808";69.0000;Excisão de Rânula;EXERESE OU EXCISAO DE RANULA;Cirurgia e Traumatologia Buco
olinda;589511;TABELA HAPVIDA;"82000786";120.7500;Exerese de pequeno cisto mandibula/maxila;EXERESE OU EXCISAO DE CISTOS ODONTOLOGICOS;Cirurgia e Traumatologia Buco
olinda;589512;TABELA HAPVIDA;"82000441";51.7500;Punção aspirativa c/agulha fina/coleta raspado em lesões ou sítios específicos região buco-maxilo-facial  ;COLETA DE RASPADO EM LESOES OU SITIOS ESPECIFICOS DA REGIAO BUCO-MAXILO-FACIAL;Diagnostico
olinda;589513;TABELA HAPVIDA;"82001197";21.0000;Redução de luxação da ATM;REDUCAO SIMPLES DE LUXACAO DA ATM;Cirurgia e Traumatologia Buco
olinda;589514;TABELA HAPVIDA;"82001510";172.5000;Tratamento cirurg. fistulas buco/nasais ou buco/sinusais ;TRATAMENTO CIRURGICO DE FISTULAS BUCO NASAIS OU BUCO SINUSAIS;Cirurgia e Traumatologia Buco
olinda;589515;TABELA HAPVIDA;"82001596";138.0000;Tratamento cirúrg. tumores benignos hiperplasia de tecidos ósseos/cartilaginosos na mandíbula/maxila  ;TRATAMENTO CIRURGICO DE TUMORES BENIGNOS E HIPERPLASIA DE TECIDOS OSSEOS/CARTILAGINOSOS NA REGIAO BUCO-MAXILO-FACIAL;Cirurgia e Traumatologia Buco
olinda;589516;TABELA HAPVIDA;"82001618";69.0000;Tratamento cirúrg. tumores benignos hiperplasia de tecidos moles na mandíbula/maxila;TRATAMENTO CIRURGICO DE TUMORES BENIGNOS E HIPERPLASIA DE TECIDOS MOLES NA REGIAO BUCO-MAXILO-FACIAL;Cirurgia e Traumatologia Buco
olinda;589517;TABELA HAPVIDA;"82001634";103.5000;Tratamento Cirúrg. tumores benignos odontogênicos s/reconstrução;TRATAMENTO CIRURGICO PARA TUMORES ODONTOGENICOS BENIGNOS - SEM RECONSTRUCAO;Cirurgia e Traumatologia Buco
olinda;589518;TABELA HAPVIDA;"85400076";57.9000;Coroa unitária provisória c/ ou s/ pino prov. p/ preparo de RMF;COROA PROVISORIA COM PINO;Protese
olinda;589519;TABELA HAPVIDA;"85400262";52.5000;Pino Pré Fabricado;PINO PRE FABRICADO;Protese
olinda;589520;TABELA HAPVIDA;"85400157";300.0000;Coroa tota Metalo Cerâmica;COROA METALO CERAMICA;Protese
olinda;589521;TABELA HAPVIDA;"85400149";173.7000;COROA TOTAL METALICA;COROA TOTAL METALICA;Protese
olinda;589522;TABELA HAPVIDA;"85400114";330.0000;COROA TOTAL EM CEROMERO;COROA TOTAL EM CEROMERO;Protese
olinda;589523;TABELA HAPVIDA;"85400220";87.9000;Reabilitação c/ núcleo metálico/núcleo pré-fabricado-inclui peça protética;NUCLEO METALICO FUNDIDO;Protese
olinda;589524;TABELA HAPVIDA;"85400556";144.6000;Reabilitação c/restauração metálica fundida RMF unitária;RESTAURACAO METALICA FUNDIDA;Protese
olinda;590245;TABELA HAPVIDA;"84080198";8.6400;Profilaxia-Polimento Coronário Orient. de Higiene Bucal Aplicação Tópica de Flour Evid. e controle de placa Bacteriana;PROFILAXIA E POLIMENTO CORONARIO;Prevencao
olinda;592904;TABELA HAPVIDA;"81000375";6.6000;RADIOGRAFIA INTERPROXIMAL - BITE-WING;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;592905;TABELA HAPVIDA;"81000383";13.5000;Radiografia Oclusal;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;592906;TABELA HAPVIDA;"81000405";37.5000;Radiografia Panorâmica de mandíbula/maxila (ortopantomografia);RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;592907;TABELA HAPVIDA;"81000421";6.6000;Radiografia Periapical;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;592908;TABELA HAPVIDA;"85300047";17.2800;RASPAGEM SUPRA-GENGIVAL;RASPAGEM SUPRA-GENGIVAL PARA TRATAMENTO DA GENGIVITE;Dentistica
olinda;592915;TABELA HAPVIDA;"85200140";185.0000;TRATAMENTO ENDODÔNTICO BIRRADICULAR;TRATAMENTO ENDODONTICO BIRRADICULAR;Endodontia
olinda;592916;TABELA HAPVIDA;"85200158";185.0000;TRATAMENTO ENDODÔNTICO MULTIRRADICULAR;TRATAMENTO ENDODONTICO MULTIRADICULAR;Endodontia
olinda;592917;TABELA HAPVIDA;"85200166";185.0000;TRATAMENTO ENDODÔNTICO UNIRRADICULAR;TRATAMENTO ENDODONTICO UNIRADICULAR;Endodontia
olinda;592920;TABELA HAPVIDA;"81000278";6.6000;FOTOGRAFIA;FOTOGRAFIA;Radiologia Odontologica e Imaginologia
olinda;592991;TABELA HAPVIDA;"84000198";8.6400;PROFILAXIA - POLIMENTO CORONARIO, ORIENT HIGI;PROFILAXIA E POLIMENTO CORONARIO;Prevencao
olinda;593490;TABELA HAPVIDA;"81000197";7.0000;DIAGNOSTICO E TRATAMENTO DE ESTOMATITE HERPETICA;DIAGNOSTICO E TRATAMENTO DE ESTOMATITE HERPETICA;Diagnostico
olinda;593491;TABELA HAPVIDA;"81000200";7.0000;DIAGNOSTICO DE ESTOMATITE POR CANDIDOSE;DIAGNOSTICO E TRATAMENTO DE ESTOMATITE POR CANDIDOSE;Diagnostico
olinda;593492;TABELA HAPVIDA;"81000138";7.0000;DIAGNOSTICO ANATOMOPATOLOGICO DE MATERIAL DE BIOPSIA BUCO MAXILO FACIAL;DIAGNOSTICO ANATOMOPATOLOGICO EM MATERIAL DE BIOPSIA NA REGIAO BUCO-MAXILO-FACIAL ;Diagnostico
olinda;593493;TABELA HAPVIDA;"81000235 ";7.0000;DIAGNOSTICO E TRATAMENTO DE XEROSTOMIA;DIAGNOSTICO E TRATAMENTO DE XEROSTOMIA ;Diagnostico
olinda;593496;TABELA HAPVIDA;"81000430";42.0000;RADIOGRAFIA POSTERO ANTERIOR;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;593497;TABELA HAPVIDA;"81000324";42.0000;RADIOGRAFIA ANTERO POSTERIOR;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;593498;TABELA HAPVIDA;"81000294";78.4000;LEVANTAMENTO RADIOGRAFICO - EXAME RADIODONTICO;RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
olinda;593499;TABELA HAPVIDA;"81000340";35.0000;RADIOGRAFIA DA ATM;REDUCAO SIMPLES DE LUXACAO DA ATM;Cirurgia e Traumatologia Buco
olinda;593500;TABELA HAPVIDA;"6170";84.0000;DOCUMENTACAO ORTODONTICA;DOCUMENTACAO ORTODONTICA;Radiologia Odontologica e Imaginologia
olinda;593501;TABELA HAPVIDA;"85300039";56.0000;RASPAGEM SUB GENGIVAL ALISAMENTO RADICULAR;RASPAGEM SUB-GENGIVAL;Periodontia
olinda;593502;TABELA HAPVIDA;"85300020";24.1500;IMOBILIZACAO DENTARIA EM DENTES PERMANENTES;IMOBILIZACAO EM DENTES PERMANENTES;Periodontia
olinda;593503;TABELA HAPVIDA;"82000921";42.0000;GENGIVECTOMIA;GENGIVECTOMIA;Periodontia
olinda;593504;TABELA HAPVIDA;"82001685";70.0000;TUNELIZACAO;TUNELIZACAO;Cirurgia e Traumatologia Buco
olinda;593505;TABELA HAPVIDA;"82000212";56.3500;AUMENTO DE COROA CLINICA;AUMENTO DE COROA CLINICA;Periodontia
olinda;593506;TABELA HAPVIDA;"85300071";32.2000;TRATAMENTO DE GENGIVITE NECROSANTE AGUDA GNA;TRATAMENTO DE GENGIVITE NECROSANTE AGUDA GNA;Periodontia
olinda;593507;TABELA HAPVIDA;"82000948";42.0000;GENGIVOPLASTIA;GENGIVOPLASTIA;Periodontia
olinda;593508;TABELA HAPVIDA;"82000646";96.6000;ENXERTO CONJUNTIVO SUBEPITELIAL;ENXERTO CONJUNTIVO SUBEPITELIAL;Periodontia
olinda;593509;TABELA HAPVIDA;"82000417";96.6000;CIRURGIA PERIODONTAL A RETALHO;CIRURGIA PERIODONTAL A RETALHO;Periodontia
olinda;593510;TABELA HAPVIDA;"82000557";24.1500;CUNHA PROXIMAL;CUNHA PROXIMAL;Cirurgia e Traumatologia Buco
olinda;593511;TABELA HAPVIDA;"82000662";84.0000;ENXERTO GENGIVAL LIVRE;ENXERTO GENGIVAL LIVRE;Periodontia
olinda;593512;TABELA HAPVIDA;"82000689";84.0000;ENXERTO PEDICULADO;ENXERTO PEDICULADO;Periodontia
olinda;593745;TABELA HAPVIDA;"86000357";64.4000;MANUTENÇÃO DE APARELHO ORTODONTICO;MANUTENCAO ORTODONTICA GENERICA;Ortodontia e Ortopedia Facial
olinda;593746;TABELA HAPVIDA;"83000097";58.8000;MANTENEDOR DE ESPAÇO FISICO;CONTENCAO ORTODONTICA;Ortodontia e Ortopedia Facial
olinda;593747;TABELA HAPVIDA;"83000100";89.6000;MANTENEDOR DE ESPAÇO REMOVIVEL;CONTENCAO ORTODONTICA;Ortodontia e Ortopedia Facial
olinda;593748;TABELA HAPVIDA;"86000365";64.4000;MANUTENÇAO DE APARELHO ORTODONTICO - APARELHO ORTOPEDICO;MANUTENCAO ORTODONTICA GENERICA;Ortodontia e Ortopedia Facial
olinda;593749;TABELA HAPVIDA;"86000373";64.4000;MANUTENÇAO DE APARELHO ORTODONTICO APARELHO REMOVIVEL;MANUTENCAO ORTODONTICA GENERICA;Ortodontia e Ortopedia Facial
olinda;593751;TABELA HAPVIDA;"85100064";60.0000;Faceta Direita em resina polimerizavel;FACETA DIRETA EM RESINA FOTOPOLIMERIZAVEL;Protese
olinda;593762;TABELA HAPVIDA;"85200093";135.0000;RETRATAMENTO ENDODÔNTICO BIRRADICULAR;RETRATAMENTO ENDODONTICO BIRRADICULAR;Endodontia
olinda;593850;TABELA HAPVIDA;"85200107";135.0000;RETRATAMENTO ENDODÔNTICO MULTIRRADICULAR;RETRATAMENTO ENDODONTICO MULTIRADICULAR;Endodontia
olinda;593865;TABELA HAPVIDA;"82001715";34.5000;ULOTOMIA;ULOTOMIA;Cirurgia e Traumatologia Buco
olinda;593871;TABELA HAPVIDA;"82000891 ";51.7500;FRENECTOMIA LINGUAL;FRENULECTOMIA;Periodontia
olinda;593917;TABELA HAPVIDA;"82001103";51.7500;PUNÇÃO ASPIRATIVA NA REGIÃO BUCO-MAXILO FACIAL;PUNCAO ASPIRATIVA NA REGIAO BUCO-MAXILO-FACIAL;outros
olinda;593918;TABELA HAPVIDA;"82001529";172.5000;TRATAMENTO CIRURGICO DE FISTULAS BUCO SINUSAIS;TRATAMENTO CIRURGICO DE FISTULAS BUCO NASAIS OU BUCO SINUSAIS;Cirurgia e Traumatologia Buco
olinda;593919;TABELA HAPVIDA;"82001553";69.0000;TRATAMENTO DE CIRURGICO DE HIPERPL DE TECIDOS MOLARES;TRATAMENTO DE CIRURGICO DE HIPERPL DE TECIDOS MOLARES;Cirurgia e Traumatologia Buco
olinda;593920;TABELA HAPVIDA;"82001588";69.0000;TRATAMENTO DE CIRURGICO DE HIPERPL DE TECIDOS OSSEOS;TRATAMENTO DE CIRURGICO DE HIPERPL DE TECIDOS OSSEOS;Cirurgia e Traumatologia Buco
olinda;593921;TABELA HAPVIDA;"85100161";17.2500;RESTAURAÇÃO EM IONOMERO DE VIDRO 4 FACES;RESTAURACAO EM IONOMERO DE VIDRO - 4 FACES;Dentistica
olinda;593922;TABELA HAPVIDA;"85400025";20.7000;AJUSTE OCLUSAL POR DESGASTE SELETIVO;AJUSTE OCLUSAL POR DESGASTE SELETIVO;Periodontia
olinda;593923;TABELA HAPVIDA;"85400211";10.3500;NUCLEO DE PREENCHIMENTO;NUCLEO DE PREENCHIMENTO;Endodontia
olinda;593924;TABELA HAPVIDA;"82001464";48.3000;SEPULTAMENTO RADICULAR;SEPULTAMENTO RADICULAR;Cirurgia e Traumatologia Buco
olinda;593925;TABELA HAPVIDA;"84000163";8.6400;CONTROLE DE PLACA, APLICAÇÃO DE FLUOR;CONTROLE DE PLACA, APLICAÇÃO DE FLUOR;Prevencao
olinda;594061;TABELA HAPVIDA;"85400386";495.0000;PROTESE PARCIAL REMOVIVEL COM GRAMPOS;PROTESE PARCIAL REMOVIVEL COM GRAMPOS;Protese
olinda;594062;TABELA HAPVIDA;"85400408";360.0000;PROTESE TOTAL;PROTESE TOTAL;Protese
olinda;594065;TABELA HAPVIDA;"85400394";180.0000;PROTESE PARCIAL REMOVIVEL PROVISORIA EM ACRILICO COM OU SEM GRAMPOS;PROTESE PARCIAL REMOVIVEL COM GRAMPOS;Protese
olinda;595048;TABELA HAPVIDA;"85400084";57.9000;COROA PROVISORIA SEM PINO;COROA PROVISORIA SEM PINO;Protese
olinda;595080;TABELA HAPVIDA;"85200115 ";135.0000;RETRATAMENTO ENDODÔNTICO UNIRRADICULAR  ;RETRATAMENTO ENDODONTICO UNIRADICULAR;Endodontia
olinda;595119;TABELA HAPVIDA;"87000032";70.0000;CONDICIONAMENTO EM ODONTOLOGIA PAC ESPECIAL;CONDICIONAMENTO EM ODONTOLOGIA;Odontopediatria
olinda;589525;Tabela ODONTOLIFE;"81000049";10.2000;Consulta odontológica de urgência;CONSULTA ODONTOLOGICA;Diagnostico
olinda;589526;Tabela ODONTOLIFE;"81000057";9.9000;Consulta odontológica de urgência 24 horas;CONSULTA ODONTOLOGICA;Diagnostico
olinda;589527;Tabela ODONTOLIFE;"85100048";2.1000;Colagem de fragmentos dentários;COLAGEM DE FRAGMENTOS DENTARIOS;Urgencia
olinda;589528;Tabela ODONTOLIFE;"82000468";2.1000;Controle de hemorragia com aplicação de agente hemostático em região buco-maxilo-facial;CONTROLE DE HEMORRAGIA;Cirurgia e Traumatologia Buco
olinda;589529;Tabela ODONTOLIFE;"82000484";2.1000;Controle de hemorragia sem aplicação de agente hemostático em região buco-maxilo-facial;CONTROLE DE HEMORRAGIA;Cirurgia e Traumatologia Buco
olinda;589530;Tabela ODONTOLIFE;"85100056";2.1000;Curativo de demora em endodontia;CURATIVO DE DEMORA;Dentistica
olinda;589531;Tabela ODONTOLIFE;"85300020";2.1000;Imobilização dentária em dentes permanentes;IMOBILIZACAO EM DENTES PERMANENTES;Periodontia
olinda;589532;Tabela ODONTOLIFE;"85000787";2.1000;Imobilização dentária em dentes decíduos;IMOBILIZACAO DENTARIA EM DENTES DECIDUOS;Odontopediatria
olinda;589533;Tabela ODONTOLIFE;"82001022";2.1000;Incisão e drenagem extraoral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;INCISAO E DRENAGEM EXTRA-ORAL DE ABSCESSO, HEMATOMA E/ OU FLEGMAO DA REGIAO BUCO-MAXILO-FACIAL;Cirurgia e Traumatologia Buco
olinda;589534;Tabela ODONTOLIFE;"82001030";2.1000;Incisão e drenagem intraoral de abscesso, hematoma e/ou flegmão da região buco-maxilo-facial;DRENABCESINTRA;Cirurgia e Traumatologia Buco
olinda;589535;Tabela ODONTOLIFE;"85400467";2.1000;Recimentação de trabalho protético;RECIMENTACAO DE TRABALHOS PROTETICOS;Protese
olinda;589536;Tabela ODONTOLIFE;"82001197";2.1000;Redução simples de luxação de articulação temporomandibular (atm);REDUCAO SIMPLES DE LUXACAO DE ARTICULACAO TEMPORO- MANDIBULAR (ATM);Cirurgia e Traumatologia Buco
olinda;589537;Tabela ODONTOLIFE;"82001251";2.1000;Reimplante de dente com contenção;REIMPLANTE DENTARIO COM CONTENCAO;Implantodontia
olinda;589538;Tabela ODONTOLIFE;"85300063";2.1000;Tratamento de abscesso periodontal agudo;TRATAMENTO DE ABSCESSO PERIODONTAL AGUDO;Periodontia
olinda;589539;Tabela ODONTOLIFE;"82001650";2.1000;Tratamento de alveolite;TRATAMENTO DE ALVEOLITE;Periodontia
olinda;589540;Tabela ODONTOLIFE;"85300080";2.1000;Tratamento de pericoronarite;TRATAMENTO DE PERICORONARITE;Periodontia
olinda;589541;Tabela ODONTOLIFE;"85200034";2.1000;Tratamento em odontalgia aguda;Tratamento em odontalgia aguda;Urgencia
olinda;589542;Tabela ODONTOLIFE;"81000065";10.2000;Consulta odontológica;CONSULTA ODONTOLOGICA INICIAL;Diagnostico
olinda;589543;Tabela ODONTOLIFE;"81000111";64.8000;Diagnóstico anatomopatológico em citologia esfoliativa na região buco-maxilo-facial;DIAGNOSTICO ANATOMOPATOLOGICO EM CITOLOGIA ESFOLIATIVA NA REGIAO BUCO-MAXILO-FACIAL ;Diagnostico
olinda;589544;Tabela ODONTOLIFE;"81000138";64.8000;Diagnóstico anatomopatológico em material de biópsia na região buco-maxilo-facial;DIAGNOSTICO ANATOMOPATOLOGICO EM MATERIAL DE BIOPSIA NA REGIAO BUCO-MAXILO-FACIAL ;Diagnostico
olinda;589545;Tabela ODONTOLIFE;"81000154";64.8000;Diagnóstico anatomopatológico em peça cirúrgica na região buco-maxilo-facial;DIAGNOSTICO ANATOMOPATOLOGICO EM PECA CIRURGICA NA REGIAO BUCO-MAXILO-FACIAL ;Diagnostico
olinda;589546;Tabela ODONTOLIFE;"81000170";64.8000;Diagnóstico anatomopatológico em punção na região buco-maxilo-facial;DIAGNOSTICO ANATOMOPATOLOGICO EM PUNCAO NA REGIAO BUCO-MAXILO-FACIAL;Diagnostico
olinda;589547;Tabela ODONTOLIFE;"81000278";6.6000;Fotografia;FOTOGRAFIA;Radiologia Odontologica e Imaginologia
olinda;589548;Tabela ODONTOLIFE;"81000294";64.8000;Levantamento radiográfico (exame radiodôntico);RADIOGRAFIA PERIAPICAL;Radiologia Odontologica e Imaginologia
